geohash,search_for_quotes,search_got_quote,acceptance_rate
tdntb,122,76,0.62295082
tdr4h,"16,277","5,220",0.3206979173066
tdr1j,"9,332","1,392",0.1491641663095
tdr17,"2,543","1,156",0.4545812033032
tf2cq,109,44,0.40366972477064
tepg4,275,49,0.18
tdr4t,"4,623","2,019",0.44
tdr1m,"33,075","6,283",0.189962207105064
tf343,704,272,0.39
tepg2,153,21,0.13725490196078
tgyxz,239,63,0.26
tf34d,303,131,0.43
tdr70,511,499,0.9765166340508806
tf346,875,407,0.47
tf318,267,125,0.4681647940074906
tunc5,759,240,0.3162055
tdr3c,"7,450","1,965",0.26
teper,239,34,0.14
tdr61,"2,579",766,0.297014
tepg6,144,20,0.14
tdr0z,970,475,0.48969072
tdr11,104,24,0.23076923076923078
tunbm,385,305,0.7922077922078
tdr4r,"2,205",815,0.37
tdr1u,"14,542","5,084",0.34960803190757805
tdr1q,"46,513","7,337",0.157740846645024
tf31b,507,321,0.633136095
tunb5,"2,360","1,422",0.6025
tdr62,309,126,0.40776699029
tgyzg,"2,149","1,197",0.5570032573289903
tf312,162,60,0.37037037037037035
tunb9,406,77,0.19
tdnqp,107,65,0.607476635514019
tf2fp,244,95,0.389344262295082
tdr1w,"34,108","9,465",0.277500879559048
tdr45,"2,279","1,446",0.63448881088
tunb4,"3,122","2,120",0.679052
tunb2,562,172,0.306049822064057
tgyzd,106,35,0.33019
tdr1r,"21,407","3,555",0.16606717428878404
tdr0y,243,88,0.36
tdr34,290,77,0.2655172413793103
tepg1,156,38,0.24
tepff,130,30,0.23076923076923078
tepeq,186,26,0.14
tdr1s,"17,277","4,775",0.27637900098
tf342,506,195,0.385375494071
tf319,448,153,0.34
tunbt,335,180,0.5373134328358209
t9y30,194,179,0.92268041
tdr2b,490,188,0.38
tdr4w,"1,495",999,0.67
tdr4y,288,216,0.75
tunbf,"1,986",569,0.2865055
tunch,286,150,0.52
tunb8,153,43,0.281046
tdr39,"4,556",710,0.15583845478489902
tdr33,887,193,0.22
tdr1t,"19,856","7,450",0.37520145044
tgyzb,568,131,0.2306338028169014
tf341,989,347,0.35086
tdr1d,291,113,0.3883161512027
tunc6,347,100,0.28818443804035
tdr4s,"1,085",266,0.24516129032258063
tf31f,713,198,0.28
tdnw0,393,268,0.68
tdr4p,"29,159","4,143",0.142083062
t9y28,181,175,0.96685083
tdr1z,"38,467","7,253",0.19
tdr47,"2,509","1,259",0.5017935432443205
tdr60,"10,241","1,905",0.18601699053
tunbk,"1,214",741,0.61038
tdr4j,"23,642","5,982",0.253024
tun8p,124,27,0.21774193548387097
tf2cx,267,158,0.5917603
tepex,238,36,0.15126050420168066
tf344,613,187,0.30505709624796085
tf31c,681,249,0.37
tf313,317,84,0.26
tuncd,198,40,0.20202020202020202
t9y2b,177,145,0.819209039548023
tdr30,911,144,0.15806805708013
tdr0w,164,68,0.41
tdr31,"1,213",213,0.18
t9y0z,122,117,0.959016
tunbe,"4,710","1,930",0.4098
tunc7,181,64,0.35359116022099
tgyzf,"2,960","1,251",0.42
tdr1n,"11,492","1,536",0.1336581970066
tgyzc,"2,801","1,159",0.4137807925740807
tf2cz,102,53,0.5196078
tdr1v,"36,683","11,897",0.32
tunb3,"1,539",811,0.526965562053
tdr1e,"5,814","2,025",0.34829721362229105
tf311,107,39,0.3644859813084
tdr46,194,99,0.51030927835052
tdr66,170,103,0.6059
tdr1g,"4,195","1,862",0.44386174017
tdr1p,"6,382","1,885",0.3
tepep,129,49,0.3798449612403101
tunce,103,32,0.31067961165049
tdr0v,"1,874",198,0.105656350053
tdr3f,207,60,0.289855072
tdr1k,"18,381","3,272",0.1780099015
tf349,508,143,0.281496063
tdr4v,158,103,0.65
tdr4e,210,78,0.37
tunbd,"3,057","1,356",0.44
tepg0,111,23,0.2072072072072072
tf340,574,186,0.324042
tdr63,792,319,0.4028
t9y0x,132,124,0.94
tgyzs,126,55,0.4365079365079
tdr1y,"27,860","9,465",0.34
tunb1,"1,745",883,0.506017191977077
tunbg,"1,885",635,0.336870027
tdr1f,203,144,0.7093596059113301
tunb0,485,106,0.21855670103093
t9y2c,141,128,0.9078014
tdr4m,"15,189","4,186",0.28
tunbu,"2,432","1,661",0.6829769736842105
tf31d,119,26,0.22
tepg7,195,34,0.17
tdr32,"6,551","1,275",0.19
tf348,222,71,0.32
tgyz9,324,145,0.44753086419753085
tdr44,107,44,0.411214953271028
tunb6,"4,326","2,548",0.588996763754045
tdr16,337,155,0.45994065
tdr38,"20,402","4,750",0.23282031
tdr1x,"15,521","4,947",0.3187294633078
tdr28,241,109,0.45
tgyze,416,183,0.4399038
tdr4n,"28,499","7,413",0.26011
tunbq,123,83,0.67
tunc4,699,201,0.287553648069
tdr3b,"13,022","4,774",0.36661035
tunb7,"2,063","1,255",0.6083
tdr29,141,79,0.56028
tuncj,303,210,0.69306930693069
tunbs,"2,450","1,405",0.573469387755102
tdr0g,213,107,0.50234741784038
tdr1h,"1,317",473,0.3591495823842065
tuncm,123,72,0.59
tepew,120,23,0.19
tdr4q,"7,624","3,293",0.43192549842602307
tdr4k,"9,793","2,145",0.21903400388032
